"type","name","fullname","label","labelReport","hintReport","chapter","disaggregation","correlate","structuralequation.risk","structuralequation.coping","structuralequation.resilience","anonymise","clean","cluster","predict","mappoint","mappoly","relevant","required","constraint","repeat_count","listname","qrepeat","qrepeatlabel","qlevel","qgroup","labelchoice","variable","order","weight","score","recategorise","formpart"
"start","start","start","Auto data","Auto data",,,,,,,,"remove","no",,,,,,,,,"","","MainDataFrame","","","Auto data",,"","","","","questions"
"end","end","end","Auto data","Auto data",,,,,,,,"remove","no",,,,,,,,,"","","MainDataFrame","","","Auto data",,"","","","","questions"
"today","today","today","Auto data","Auto data",,,,,,,,"remove","no",,,,,,,,,"","","MainDataFrame","","","Auto data",,"","","","","questions"
"deviceid","deviceid","deviceid","Auto data","Auto data",,,,,,,,"remove","no",,,,,,,,,"","","MainDataFrame","","","Auto data",,"","","","","questions"
"imei","imei","imei","Auto data","Auto data",,,,,,,,"remove","no",,,,,,,,,"","","MainDataFrame","","","Auto data",,"","","","","questions"
"phonenumber","phonenumber","phonenumber","Auto data","Auto data",,,,,,,,"remove","no",,,,,,,,,"","","MainDataFrame","","","Auto data",,"","","","","questions"
"note","intro","intro","This form template can customised according to your specific context. Please consult ",,,,,,,,,,,,,,,,,,,"","","MainDataFrame","","",,,"","","","","questions"
"note","StartTestOutput","StartTestOutput","Survey start time: ${start}","Survey start time: ${start}",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","","","Survey start time: ${start}",,"","","","","questions"
"note","TodayTestOutput","TodayTestOutput","Today: ${today}","Today: ${today}",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","","","Today: ${today}",,"","","","","questions"
"begin_group","CaseReachable","CaseReachable.CaseReachable","Section a: Case reachable / unreachable","Section a: Case reachable / unreachable",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level1","CaseReachable","Section a: Case reachable / unreachable",,"","","","","questions"
"select_one","reachable","CaseReachable.reachable","Is the case reachable?","Is the case reachable?","For audit purpose, it's important to have record of all attempt to reach cases selected in the sample","Data_quality",,,,,,,"no",,,,,,"yes",,," yesno","","MainDataFrame","level1","CaseReachable","Is the case reachable?",,"","","","","questions"
"text","unreachable","CaseReachable.unreachable","UNHCR Case Number:","UNHCR Case Number:",,,,,,,,,"no",,,,,"selected(${reachable},'no')","yes","regex(., '[(LEB)|(leb)|(0-9)]{3}\-[0-9]{2}[c|C][0-9]{5}' )  and string-length(.) =12",,"","","MainDataFrame","level1","CaseReachable","UNHCR Case Number:",,"","","","","questions"
"select_one","NotReachable","CaseReachable.NotReachable","Select the reason case is unreachable:","Select the reason case is unreachable:","For audit purpose, it's important to have record of reasons why cases selected in the sample could not be reached","Data_quality",,,,,,,"no",,,,,"selected(${reachable},'no')","yes",,," not_reachable","","MainDataFrame","level1","CaseReachable","Select the reason case is unreachable:",,"","","","","questions"
"text","NotReachableOther","CaseReachable.NotReachableOther","Please specify why case is unreachable:","Please specify why case is unreachable:",,,,,,,,,"no",,,,,"selected(${NotReachable},'other')","yes",,,"","","MainDataFrame","level1","CaseReachable","Please specify why case is unreachable:",,"","","","","questions"
"end_group","CaseReachable","CaseReachable","NA",,,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","","",,,"","","","","questions"
"begin_group","EnumeratorDetails","EnumeratorDetails.EnumeratorDetails","Section b: Enumerator details:","Section b: Enumerator details:",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level1","EnumeratorDetails","Section b: Enumerator details:",,"","","","","questions"
"text","EnumeratorName","EnumeratorDetails.EnumeratorName","Enumerator name:","Enumerator name:",,,,,,,,,"no",,,,,,"yes",,,"","","MainDataFrame","level1","EnumeratorDetails","Enumerator name:",,"","","","","questions"
"select_one","Organization","EnumeratorDetails.Organization","Organization of enumerator:","Organization of enumerator:",,"Data_quality",,,,,,,"no",,,,,,"yes",,," organization","","MainDataFrame","level1","EnumeratorDetails","Organization of enumerator:",,"","","","","questions"
"text","OtherOrganization","EnumeratorDetails.OtherOrganization","Please specify:","Please specify:",,,,,,,,,"no",,,,,"selected(${Organization},'other')","yes",,,"","","MainDataFrame","level1","EnumeratorDetails","Please specify:",,"","","","","questions"
"end_group","EnumeratorDetails","EnumeratorDetails","NA",,,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","","",,,"","","","","questions"
"end","NotReachableEnd","NotReachableEnd","NA",,,,,,,,,,"no",,,,,"selected(${reachable},'no')",,,,"","","MainDataFrame","","",,,"","","","","questions"
"begin_group","InterviewConsent","InterviewConsent.InterviewConsent","Section c: Consent and Enumerator Details","Section c: Consent and Enumerator Details",,,,,,,,,"no",,,,,"selected(${reachable},'yes')",,,,"","","MainDataFrame","level1","InterviewConsent","Section c: Consent and Enumerator Details",,"","","","","questions"
"select_one","consent","InterviewConsent.consent","We are conducting a survey on the behalf of the United Nations High Commisioner for R","We are conducting a survey on the behalf of the United Nations High Commisioner","To be adjusted according to sub-agreement or contract with the organization collecting the information. .",,,,,,,,"no",,,,,,"yes",,," yesnona","","MainDataFrame","level1","InterviewConsent","We are conducting a survey on the behalf of the United Nations High Commisioner",,"","","","","questions"
"end_group","InterviewConsent","InterviewConsent","NA",,,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","","",,,"","","","","questions"
"note","EndInterview","EndInterview","The interview cannot continue without the consent of the interviewee.","The interview cannot continue without the consent of the interviewee.",,,,,,,,,"no",,,,,"selected(${consent},'no')",,,,"","","MainDataFrame","","","The interview cannot continue without the consent of the interviewee.",,"","","","","questions"
"end","NoConsent","NoConsent","NA",,,,,,,,,,"no",,,,,"selected(${consent},'no')",,,,"","","MainDataFrame","","",,,"","","","","questions"
"begin_group","Profile","Profile.Profile","Profile Section","Profile Section",,,,,,,,,"no",,,,,"selected(${reachable},'yes') and selected(${consent},'yes')",,,,"","","MainDataFrame","level1","Profile","Profile Section",,"","","","","questions"
"begin_group","Interviewee","Profile.Interviewee.Interviewee","Interviewee","Interviewee",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level2","Profile.Interviewee","Interviewee",,"","","","","questions"
"note","IdentifyPA","Profile.Interviewee.IdentifyPA","Identify the PA of the case number referred or, if not present, an adult included in ","Identify the PA of the case number referred or, if not present, an adult include",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level2","Profile.Interviewee","Identify the PA of the case number referred or, if not present, an adult include",,"","","","","questions"
"text","UNHCRCaseNo","Profile.Interviewee.UNHCRCaseNo","What is the UNHCR Case Number of the case being interviewed?","What is the UNHCR Case Number of the case being interviewed?",,,,,,,,"reference","no",,,,,,"yes","regex(., '[(LEB)|(leb)|(0-9)]{3}\-[0-9]{2}[c|C][0-9]{5}' )  and string-length(.) =12",,"","","MainDataFrame","level2","Profile.Interviewee","What is the UNHCR Case Number of the case being interviewed?",,"","","","","questions"
"select_one","RelationHoh","Profile.Interviewee.RelationHoh","What is the relationship of the interviewee with the PA?","What is the relationship of the interviewee with the PA?",,"Demographics",,,,,,,"no",,,,,,"yes",,," relationship","","MainDataFrame","level2","Profile.Interviewee","What is the relationship of the interviewee with the PA?",,"","","","","questions"
"text","OtherRelationHoh","Profile.Interviewee.OtherRelationHoh","Please specify the relationship of the interviewee with the PA:","Please specify  the relationship of the interviewee with the PA:",,,,,,,,,"no",,,,,"selected(${RelationHoh},'other')","yes",,,"","","MainDataFrame","level2","Profile.Interviewee","Please specify  the relationship of the interviewee with the PA:",,"","","","","questions"
"select_one","SexInterviewee","Profile.Interviewee.SexInterviewee","What is the sex of the interviewee?","What is the sex of the interviewee?",,"Demographics",,"yes",,,,,"no",,,,,,"yes",,," sex","","MainDataFrame","level2","Profile.Interviewee","What is the sex of the interviewee?",,"","","","","questions"
